"Technology","Age","CustomerSince","SupportCallsLastYear","AverageBill","ChurnIndicator"
"4G",77,2015-10-16 22:27:16,0,98,0.0
"4G",65,2010-09-12 22:27:16,0,101,0.01
"landline",3,2011-06-24 22:27:16,7,18,0.125
"4G",54,2015-06-09 22:27:16,1,102,0.002
"4G",68,2011-09-07 22:27:16,0,28,0.029
"landline",2,2012-04-10 22:27:16,0,18,0.013
"landline",78,2015-04-17 22:27:16,0,53,0.001
"4G",70,2010-10-15 22:27:16,2,86,0.034
"landline",58,2011-06-14 22:27:16,0,56,0.005
"landline",80,2012-03-07 23:27:16,0,19,0.013
"landline",79,2011-08-12 22:27:16,8,98,0.025
"4G",17,2013-11-06 23:27:16,1,92,0.009
"4G",8,2012-04-13 22:27:16,0,89,0.008
"phone",73,2012-09-19 22:27:16,10,95,0.047
"4G",4,2011-05-11 22:27:16,1,26,0.067
"phone",65,2014-06-02 22:27:16,2,69,0.008
"4G",60,2012-05-04 22:27:16,1,70,0.02
"4G",11,2015-06-06 22:27:16,0,20,0.005
"phone",27,2013-11-09 23:27:16,0,67,0.004
"phone",77,2013-07-10 22:27:16,4,34,0.045
"phone",15,2010-10-09 22:27:16,0,38,0.017
"landline",66,2013-06-03 22:27:16,0,88,0.002
"fiber",22,2015-09-15 22:27:16,2,49,0.004
"4G",0,2013-11-22 23:27:16,2,65,0.018
"phone",20,2011-11-01 23:27:16,0,24,0.022
"landline",71,2011-07-31 22:27:16,0,77,0.004
"fiber",29,2010-09-09 22:27:16,1,75,0.035
"landline",5,2013-11-15 23:27:16,1,80,0.003
"landline",47,2012-11-13 23:27:16,7,39,0.04
"landline",20,2012-01-27 23:27:16,0,79,0.003
"fiber",59,2012-06-16 22:27:16,0,50,0.018
"fiber",46,2011-03-08 23:27:16,0,74,0.016
"phone",57,2015-02-22 23:27:16,6,31,0.023
"landline",17,2015-10-16 22:27:16,1,30,0.001
"fiber",78,2015-11-22 23:27:16,9,69,0.002
"fiber",27,2015-06-25 22:27:16,1,47,0.005
"phone",16,2012-12-09 23:27:16,0,90,0.004
"landline",20,2013-07-02 22:27:16,0,35,0.004
"4G",51,2012-02-04 23:27:16,2,97,0.023
"phone",46,2012-02-18 23:27:16,0,74,0.007
"fiber",30,2012-02-01 23:27:16,1,94,0.021
"phone",21,2011-01-01 23:27:16,3,65,0.038
"4G",68,2015-07-28 22:27:16,7,94,0.006
"phone",42,2012-08-07 22:27:16,0,27,0.016
"4G",25,2013-12-15 23:27:16,0,109,0.003
"phone",2,2011-12-22 23:27:16,4,41,0.061
"fiber",29,2012-04-27 22:27:16,0,31,0.03
"landline",58,2010-11-09 23:27:16,0,62,0.005
"landline",62,2015-06-29 22:27:16,6,47,0.004
"phone",29,2011-03-22 23:27:16,0,80,0.007
"4G",10,2013-06-26 22:27:16,0,69,0.007
"phone",12,2013-04-26 22:27:16,0,25,0.013
"4G",10,2013-03-02 23:27:16,0,59,0.009
"fiber",37,2010-07-17 22:27:16,4,94,0.073
"fiber",29,2012-10-21 22:27:16,7,30,0.212
"4G",17,2013-11-14 23:27:16,1,13,0.061
"4G",5,2010-08-31 22:27:16,9,23,0.435
"landline",52,2014-07-16 22:27:16,0,71,0.001
"4G",7,2010-06-28 22:27:16,9,49,0.211
"4G",55,2015-07-20 22:27:16,0,66,0.001
"landline",78,2011-10-07 22:27:16,1,43,0.012
"phone",15,2012-11-06 23:27:16,1,58,0.014
"phone",19,2014-10-16 22:27:16,0,39,0.004
"4G",46,2014-02-19 23:27:16,1,20,0.034
"fiber",32,2013-10-31 23:27:16,0,106,0.005
"landline",79,2012-09-16 22:27:16,1,73,0.006
"fiber",40,2015-09-29 22:27:16,9,12,0.044
"4G",48,2010-09-24 22:27:16,2,12,0.247
"fiber",53,2015-05-23 22:27:16,1,71,0.004
"fiber",1,2011-07-07 22:27:16,6,12,0.654
"fiber",57,2014-09-09 22:27:16,0,54,0.006
"fiber",23,2014-10-04 22:27:16,0,34,0.009
"4G",19,2014-06-24 22:27:16,1,46,0.012
"phone",32,2010-11-25 23:27:16,0,26,0.025
"fiber",71,2011-11-22 23:27:16,8,27,0.342
"fiber",64,2011-05-07 22:27:16,0,98,0.012
"landline",34,2012-08-22 22:27:16,0,69,0.003
"phone",47,2014-06-19 22:27:16,0,90,0.002
"fiber",29,2015-12-11 23:27:16,4,68,0.0
"fiber",59,2011-09-16 22:27:16,1,66,0.032
"4G",50,2010-12-26 23:27:16,0,79,0.012
"4G",5,2013-06-21 22:27:16,0,38,0.012
"phone",31,2011-04-19 22:27:16,2,95,0.019
"4G",39,2013-10-22 22:27:16,0,47,0.009
"phone",20,2011-12-12 23:27:16,0,73,0.007
"phone",80,2014-06-19 22:27:16,10,19,0.109
"landline",24,2012-10-11 22:27:16,9,22,0.091
"landline",46,2011-08-02 22:27:16,0,55,0.005
"phone",18,2013-10-08 22:27:16,5,89,0.019
"phone",27,2015-11-12 23:27:16,1,90,0.0
"4G",19,2012-10-26 22:27:16,8,72,0.074
"phone",4,2014-12-30 23:27:16,2,12,0.03
"phone",12,2010-07-25 22:27:16,0,86,0.008
"phone",12,2014-06-28 22:27:16,1,57,0.006
"4G",45,2012-10-03 22:27:16,0,37,0.016
"landline",73,2010-09-23 22:27:16,7,56,0.047
"4G",77,2011-05-31 22:27:16,1,100,0.017
"fiber",70,2012-01-23 23:27:16,0,87,0.011
"landline",6,2011-05-24 22:27:16,1,49,0.012
"4G",17,2010-10-31 23:27:16,0,18,0.054
"fiber",60,2015-04-23 22:27:16,1,77,0.004
"phone",5,2012-12-14 23:27:16,0,63,0.006
"fiber",13,2013-09-27 22:27:16,1,72,0.016
"landline",12,2012-04-20 22:27:16,1,85,0.005
"4G",4,2010-10-03 22:27:16,0,30,0.033
"phone",45,2014-11-16 23:27:16,1,26,0.01
"fiber",38,2014-04-04 22:27:16,0,42,0.01
"fiber",25,2010-10-29 22:27:16,1,81,0.032
"4G",77,2011-07-08 22:27:16,2,43,0.059
"4G",61,2014-11-13 23:27:16,0,56,0.004
"phone",56,2011-02-05 23:27:16,0,40,0.015
"phone",5,2010-10-11 22:27:16,0,93,0.007
"phone",13,2011-09-30 22:27:16,1,11,0.097
"fiber",34,2012-07-23 22:27:16,7,51,0.134
"4G",13,2015-06-16 22:27:16,0,88,0.001
"phone",45,2010-09-01 22:27:16,8,75,0.08
"4G",5,2010-07-22 22:27:16,1,49,0.042
"4G",47,2013-04-21 22:27:16,4,40,0.063
"landline",47,2012-01-27 23:27:16,9,97,0.025
"phone",62,2015-11-08 23:27:16,7,29,0.003
"phone",70,2013-11-18 23:27:16,0,86,0.003
"landline",45,2011-11-30 23:27:16,5,16,0.096
"landline",33,2014-04-02 22:27:16,0,19,0.006
"4G",71,2015-02-02 23:27:16,5,64,0.015
"4G",67,2014-09-22 22:27:16,9,29,0.08
"phone",24,2011-10-20 22:27:16,0,78,0.007
"landline",49,2015-09-26 22:27:16,0,91,0.0
"phone",44,2015-10-16 22:27:16,2,43,0.001
"phone",40,2014-03-04 23:27:16,0,50,0.004
"landline",75,2013-04-23 22:27:16,1,60,0.006
"fiber",48,2011-10-26 22:27:16,3,109,0.038
"phone",59,2010-06-30 22:27:16,8,14,0.443
"landline",71,2010-08-07 22:27:16,4,25,0.068
"4G",36,2015-03-28 23:27:16,0,75,0.002
"phone",75,2013-10-04 22:27:16,1,31,0.018
"phone",55,2015-10-01 22:27:16,1,90,0.001
"fiber",71,2011-06-21 22:27:16,3,96,0.047
"fiber",15,2015-03-18 23:27:16,5,79,0.014
"phone",76,2014-05-15 22:27:16,4,80,0.012
"fiber",65,2015-11-25 23:27:16,1,73,0.0
"landline",41,2014-03-27 23:27:16,4,86,0.006
"landline",25,2014-08-02 22:27:16,0,30,0.003
"landline",24,2012-12-12 23:27:16,4,61,0.016
"4G",42,2011-05-13 22:27:16,0,17,0.051
"4G",54,2011-10-25 22:27:16,0,103,0.008
"landline",37,2014-01-22 23:27:16,0,16,0.007
"phone",21,2012-03-26 22:27:16,0,64,0.007
"phone",29,2015-05-17 22:27:16,5,109,0.004
"4G",31,2013-05-31 22:27:16,2,65,0.022
"phone",48,2014-07-26 22:27:16,0,53,0.003
"landline",3,2010-06-30 22:27:16,1,27,0.026
"fiber",58,2015-12-02 23:27:16,5,44,0.001
"4G",11,2011-03-06 23:27:16,0,52,0.017
"4G",80,2015-05-02 22:27:16,7,76,0.012
"phone",47,2011-03-03 23:27:16,6,92,0.046
"phone",42,2014-05-05 22:27:16,0,95,0.002
"fiber",31,2010-10-02 22:27:16,7,12,0.875
"phone",41,2011-08-02 22:27:16,0,52,0.011
"phone",14,2013-04-19 22:27:16,2,30,0.033
"4G",55,2010-09-18 22:27:16,6,40,0.174
"fiber",41,2010-09-12 22:27:16,2,63,0.063
"4G",68,2015-10-27 23:27:16,1,71,0.001
"fiber",66,2012-06-13 22:27:16,0,58,0.015
"phone",48,2014-06-27 22:27:16,0,105,0.002
"phone",71,2012-10-11 22:27:16,5,23,0.104
"fiber",50,2013-05-01 22:27:16,0,80,0.008
"phone",15,2013-02-18 23:27:16,0,70,0.005
"4G",53,2015-08-25 22:27:16,0,13,0.004
"phone",8,2012-12-14 23:27:16,3,11,0.138
"4G",40,2013-04-23 22:27:16,0,20,0.025
"phone",52,2013-03-20 23:27:16,10,38,0.1
"landline",11,2014-02-08 23:27:16,1,88,0.003
"landline",43,2013-11-10 23:27:16,3,57,0.009
"4G",14,2011-04-03 22:27:16,6,40,0.156
"phone",34,2015-07-19 22:27:16,1,24,0.004
"fiber",64,2012-09-07 22:27:16,1,108,0.015
"landline",17,2014-10-03 22:27:16,0,88,0.001
"landline",23,2015-06-25 22:27:16,6,109,0.002
"phone",60,2015-03-16 23:27:16,1,102,0.002
"phone",60,2015-07-01 22:27:16,6,103,0.004
"landline",73,2013-02-13 23:27:16,0,54,0.003
"4G",19,2010-07-25 22:27:16,1,73,0.028
"4G",45,2015-10-16 22:27:16,1,14,0.004
"4G",20,2012-07-30 22:27:16,5,59,0.065
"fiber",33,2013-03-06 23:27:16,1,50,0.028
"4G",3,2011-08-30 22:27:16,1,78,0.021
"fiber",46,2012-09-27 22:27:16,2,106,0.023
"4G",38,2010-07-14 22:27:16,0,85,0.012
"fiber",23,2015-02-10 23:27:16,0,45,0.005
"phone",35,2015-03-26 23:27:16,3,22,0.017
"phone",69,2013-07-17 22:27:16,5,106,0.017
"landline",68,2011-11-21 23:27:16,0,14,0.018
"phone",54,2014-12-07 23:27:16,0,43,0.003
"landline",20,2013-03-13 23:27:16,1,58,0.006
"fiber",26,2011-09-07 22:27:16,0,97,0.011
"phone",3,2012-02-20 23:27:16,4,77,0.031
"4G",55,2013-05-20 22:27:16,4,35,0.069
"phone",4,2010-12-08 23:27:16,0,84,0.008
"4G",49,2012-09-03 22:27:16,0,13,0.048
"phone",52,2012-10-19 22:27:16,0,103,0.004
"4G",32,2012-01-30 23:27:16,10,19,0.424
"fiber",54,2011-03-26 23:27:16,0,41,0.029
"phone",49,2011-06-29 22:27:16,1,59,0.019
"landline",72,2013-11-14 23:27:16,5,43,0.018
"landline",70,2012-05-18 22:27:16,0,104,0.002
"4G",23,2011-09-14 22:27:16,2,41,0.059
"landline",49,2012-09-03 22:27:16,0,45,0.005
"fiber",73,2012-09-08 22:27:16,4,49,0.084
"fiber",79,2014-12-20 23:27:16,0,25,0.01
"phone",4,2010-10-01 22:27:16,1,74,0.018
"4G",33,2012-12-26 23:27:16,1,22,0.051
"4G",8,2013-12-01 23:27:16,1,26,0.03
"landline",13,2011-08-11 22:27:16,5,17,0.097
"4G",77,2012-09-06 22:27:16,3,66,0.038
"4G",43,2012-10-12 22:27:16,8,101,0.053
"phone",65,2013-03-31 22:27:16,1,105,0.007
"phone",64,2011-07-07 22:27:16,6,91,0.043
"4G",56,2011-03-11 23:27:16,2,100,0.027
"phone",7,2012-05-11 22:27:16,5,46,0.059
"4G",17,2013-05-07 22:27:16,0,34,0.015
"phone",15,2010-08-26 22:27:16,0,98,0.007
"phone",27,2015-04-10 22:27:16,1,85,0.002
"phone",34,2011-10-31 23:27:16,0,81,0.006
"4G",47,2015-10-02 22:27:16,0,79,0.0
"4G",32,2012-05-30 22:27:16,0,21,0.032
"phone",75,2015-08-12 22:27:16,3,60,0.003
"phone",35,2011-09-19 22:27:16,1,40,0.027
"4G",15,2012-04-06 22:27:16,2,42,0.05
"4G",73,2015-04-01 22:27:16,5,77,0.01
"fiber",0,2012-07-25 22:27:16,2,52,0.049
"fiber",70,2011-06-09 22:27:16,0,56,0.02
"phone",45,2015-04-14 22:27:16,1,25,0.007
"phone",49,2013-08-25 22:27:16,3,59,0.02
"4G",40,2013-04-02 22:27:16,2,38,0.04
"landline",67,2014-04-13 22:27:16,0,87,0.001
"4G",14,2013-08-24 22:27:16,4,26,0.084
"phone",26,2012-04-29 22:27:16,1,78,0.012
"phone",73,2011-09-30 22:27:16,1,59,0.018
"4G",35,2012-12-14 23:27:16,0,47,0.012
"fiber",55,2011-02-09 23:27:16,5,75,0.098
"phone",9,2015-04-07 22:27:16,0,74,0.001
"phone",19,2010-11-30 23:27:16,0,25,0.025
"4G",21,2011-07-28 22:27:16,0,15,0.055
"landline",49,2015-07-19 22:27:16,2,14,0.005
"4G",42,2015-01-20 23:27:16,0,28,0.006
"landline",45,2015-03-24 23:27:16,1,32,0.003
"4G",49,2014-09-19 22:27:16,0,23,0.01
"landline",76,2015-02-01 23:27:16,0,22,0.002
"phone",75,2012-03-20 23:27:16,0,41,0.011
"phone",29,2010-11-27 23:27:16,6,15,0.297
"fiber",6,2015-02-26 23:27:16,10,77,0.029
"landline",65,2014-04-17 22:27:16,1,105,0.002
"landline",28,2011-06-13 22:27:16,0,21,0.014
"4G",70,2015-06-07 22:27:16,1,89,0.002
"4G",22,2014-06-25 22:27:16,5,70,0.024
"phone",37,2011-12-28 23:27:16,1,81,0.012
"landline",0,2012-10-08 22:27:16,3,59,0.014
"fiber",19,2014-05-15 22:27:16,0,31,0.013
"fiber",70,2011-04-20 22:27:16,4,58,0.101
"landline",69,2011-09-25 22:27:16,0,40,0.007
"4G",65,2012-07-31 22:27:16,0,48,0.013
"fiber",71,2011-01-13 23:27:16,2,52,0.072
"landline",38,2014-06-29 22:27:16,0,66,0.001
"4G",61,2011-08-12 22:27:16,6,79,0.073
"fiber",4,2012-08-14 22:27:16,0,78,0.011
"fiber",39,2013-11-30 23:27:16,2,100,0.015
"phone",32,2013-02-06 23:27:16,1,31,0.023
"landline",66,2010-09-18 22:27:16,0,74,0.004
"4G",21,2010-09-01 22:27:16,0,45,0.022
"fiber",2,2015-11-01 23:27:16,1,26,0.002
"phone",0,2013-10-05 22:27:16,0,40,0.007
"fiber",36,2011-02-17 23:27:16,2,75,0.049
"fiber",62,2013-09-14 22:27:16,3,101,0.022
"phone",38,2011-03-31 22:27:16,1,95,0.013
"phone",17,2010-10-15 22:27:16,8,16,0.367
"4G",49,2015-02-15 23:27:16,6,82,0.013
"fiber",8,2010-08-05 22:27:16,1,26,0.104
"phone",32,2015-05-21 22:27:16,0,11,0.007
"4G",9,2015-10-04 22:27:16,4,65,0.003
"phone",6,2010-09-30 22:27:16,2,67,0.029
"4G",42,2010-12-18 23:27:16,0,102,0.009
"phone",17,2012-07-03 22:27:16,0,38,0.011
"phone",69,2011-11-19 23:27:16,1,69,0.015
"4G",63,2010-11-16 23:27:16,0,55,0.017
"phone",27,2011-11-05 23:27:16,2,87,0.018
"phone",53,2014-07-16 22:27:16,6,48,0.026
"4G",11,2011-07-21 22:27:16,4,51,0.082
"4G",13,2014-01-13 23:27:16,1,71,0.01
"4G",78,2013-09-11 22:27:16,1,71,0.012
"phone",54,2011-07-29 22:27:16,2,84,0.02
"fiber",72,2011-12-18 23:27:16,1,76,0.027
"phone",50,2015-08-31 22:27:16,0,103,0.0
"phone",55,2012-01-28 23:27:16,0,31,0.016
"fiber",24,2015-05-22 22:27:16,1,40,0.007
"fiber",25,2014-02-06 23:27:16,0,58,0.008
"landline",70,2010-11-01 23:27:16,1,96,0.007
"phone",8,2011-04-16 22:27:16,1,41,0.029
"landline",45,2014-04-05 22:27:16,2,68,0.005
"phone",16,2012-02-26 23:27:16,0,49,0.01
"phone",67,2011-03-05 23:27:16,0,88,0.007
"phone",11,2013-04-23 22:27:16,0,31,0.011
"4G",76,2014-11-12 23:27:16,8,17,0.109
"fiber",14,2010-08-20 22:27:16,0,85,0.016
"landline",40,2015-08-20 22:27:16,0,35,0.001
"4G",42,2015-05-01 22:27:16,0,47,0.003
"fiber",30,2012-09-07 22:27:16,3,34,0.097
"fiber",4,2014-12-24 23:27:16,1,107,0.005
